Pinecone, LightHouse, Rock, Rock 2, Frog, DepthofField, Rain Compute, Rain Particles, Reflections, Shadows, ,
10240,15360,1024,1024,1024,11264,12288,6144,9216,1024, FPS: 0.000011, 
1024,10240,1024,1024,0,12288,11264,6144,9216,1024, FPS: 2239.641602, 
0,11264,1024,0,1024,13312,11264,2048,8192,1024, FPS: 2695.417725, 
1024,11264,1024,1024,1024,13312,11264,6144,8192,1024, FPS: 2597.402588, 
0,11264,1024,0,1024,12288,11264,4096,9216,0, FPS: 2731.494141, 
0,11264,1024,1024,1024,12288,11264,4096,9216,1024, FPS: 2792.516113, 
0,11264,1024,0,1024,13312,10240,3072,8192,1024, FPS: 2603.488770, 
1024,11264,1024,1024,1024,13312,10240,7168,9216,1024, FPS: 2727.768799, 
1024,11264,0,1024,1024,12288,11264,7168,9216,1024, FPS: 2917.152832, 
0,11264,1024,1024,1024,13312,11264,4096,9216,0, FPS: 3265.839355, 
1024,11264,0,1024,1024,13312,11264,4096,9216,1024, FPS: 2566.735107, 
1024,11264,1024,1024,0,13312,11264,3072,9216,0, FPS: 2583.979492, 
1024,11264,1024,0,1024,12288,11264,7168,9216,1024, FPS: 2475.247559, 
1024,11264,1024,1024,1024,13312,11264,11264,9216,1024, FPS: 3035.822998, 
1024,10240,1024,1024,0,12288,10240,14336,9216,0, FPS: 1695.489990, 
0,11264,0,0,1024,13312,10240,11264,9216,1024, FPS: 2469.745605, 
0,11264,1024,0,1024,13312,11264,11264,9216,1024, FPS: 2757.859863, 
1024,11264,0,1024,1024,13312,10240,11264,9216,0, FPS: 2748.763184, 
0,11264,1024,0,0,12288,11264,15360,9216,1024, FPS: 2766.251709, 
4096,8192,0,1024,1024,12288,11264,12288,9216,0, FPS: 3292.723145, 
1024,11264,1024,1024,1024,13312,10240,14336,9216,1024, FPS: 3195.909180, 
1024,11264,1024,1024,1024,12288,11264,12288,9216,1024, FPS: 3223.726562, 
1024,10240,1024,1024,1024,13312,11264,11264,8192,1024, FPS: 2545.177002, 
1024,11264,1024,0,1024,13312,11264,12288,9216,0, FPS: 2770.850830, 
1024,10240,1024,3072,0,12288,11264,12288,9216,1024, FPS: 3035.822998, 
0,11264,1024,0,1024,13312,11264,11264,9216,1024, FPS: 3832.886475, 
1024,10240,0,1024,1024,13312,11264,11264,9216,1024, FPS: 2157.962891, 
1024,12288,0,1024,1024,13312,11264,14336,9216,1024, FPS: 1996.805176, 
1024,11264,1024,1024,1024,12288,11264,12288,9216,0, FPS: 2646.903076, 
1024,11264,1024,1024,1024,12288,11264,11264,9216,1024, FPS: 3108.486084, 
0,11264,0,1024,1024,12288,11264,12288,9216,1024, FPS: 2891.009033, 
1024,11264,1024,1024,0,13312,11264,12288,9216,1024, FPS: 3184.713379, 
1024,11264,1024,0,1024,13312,11264,14336,9216,1024, FPS: 1548.946777, 
1024,10240,1024,1024,0,12288,11264,15360,9216,0, FPS: 3179.650391, 
0,11264,0,1024,1024,12288,11264,12288,9216,0, FPS: 3240.440674, 
1024,10240,1024,1024,1024,13312,11264,15360,9216,1024, FPS: 3212.335449, 
1024,10240,1024,1024,0,13312,10240,12288,8192,1024, FPS: 3403.676025, 
1024,10240,1024,1024,1024,13312,11264,4096,9216,1024, FPS: 3033.060547, 
1024,10240,1024,1024,0,13312,11264,2048,9216,0, FPS: 2729.257568, 
1024,11264,1024,0,1024,12288,10240,4096,9216,1024, FPS: 2546.473145, 
