tree1, Pinecone, LightHouse, Rock, Rock 2, Frog, DepthofField, Rain Compute, Rain Particles, Rain Total, Reflections, Shadows, 
2048, 50176, 116736, 1024, 2048, 1024, 43008, 44032, 23552, 23552, 49152, 17408, 
0, 1024, 34816, 0, 1024, 1024, 33792, 18432, 11264, 11264, 25600, 18432, 
1024, 2048, 109568, 0, 1024, 0, 45056, 39936, 23552, 23552, 52224, 20480, 
2048, 2048, 112640, 2048, 1024, 1024, 46080, 39936, 23552, 23552, 49152, 20480, 
1024, 1024, 109568, 1024, 1024, 2048, 47104, 46080, 24576, 24576, 46080, 20480, 
1024, 2048, 113664, 1024, 1024, 2048, 46080, 40960, 24576, 24576, 48128, 19456, 
1024, 11264, 227328, 1024, 2048, 1024, 45056, 41984, 27648, 27648, 47104, 20480, 
1024, 2048, 111616, 1024, 2048, 1024, 47104, 41984, 27648, 27648, 49152, 19456, 
1024, 1024, 115712, 1024, 2048, 1024, 45056, 40960, 25600, 25600, 54272, 20480, 
1024, 2048, 109568, 1024, 2048, 1024, 45056, 40960, 26624, 26624, 49152, 20480, 
1024, 5120, 109568, 1024, 1024, 1024, 37888, 33792, 24576, 24576, 40960, 15360, 
1024, 4096, 108544, 1024, 1024, 1024, 40960, 33792, 24576, 24576, 40960, 16384, 
1024, 7168, 114688, 1024, 2048, 2048, 70656, 33792, 25600, 25600, 39936, 15360, 
1024, 3072, 109568, 1024, 1024, 1024, 77824, 34816, 21504, 21504, 38912, 15360, 
1024, 6144, 125952, 1024, 2048, 1024, 43008, 38912, 45056, 45056, 39936, 17408, 
2048, 5120, 111616, 1024, 2048, 1024, 40960, 35840, 44032, 44032, 40960, 17408, 
2048, 4096, 122880, 2048, 2048, 2048, 40960, 34816, 46080, 46080, 44032, 12288, 
1024, 5120, 112640, 1024, 1024, 1024, 46080, 33792, 47104, 47104, 40960, 15360, 
1024, 5120, 112640, 1024, 1024, 1024, 41984, 34816, 46080, 46080, 39936, 14336, 
1024, 5120, 116736, 1024, 1024, 1024, 45056, 34816, 44032, 44032, 39936, 15360, 
1024, 6144, 109568, 1024, 1024, 1024, 44032, 53248, 66560, 66560, 39936, 14336, 
1024, 10240, 118784, 1024, 1024, 1024, 40960, 34816, 46080, 46080, 44032, 14336, 
1024, 1024, 91136, 1024, 2048, 1024, 48128, 36864, 49152, 49152, 73728, 13312, 
1024, 6144, 118784, 1024, 1024, 1024, 46080, 33792, 47104, 47104, 39936, 17408, 
1024, 6144, 108544, 1024, 1024, 1024, 40960, 52224, 60416, 60416, 38912, 13312, 
1024, 4096, 110592, 1024, 1024, 1024, 69632, 32768, 59392, 59392, 37888, 14336, 
1024, 6144, 109568, 1024, 1024, 1024, 82944, 32768, 43008, 43008, 37888, 16384, 
1024, 6144, 211968, 1024, 1024, 1024, 47104, 34816, 47104, 47104, 43008, 15360, 
1024, 12288, 111616, 1024, 1024, 1024, 41984, 32768, 44032, 44032, 64512, 11264, 
1024, 17408, 178176, 1024, 1024, 1024, 41984, 33792, 45056, 45056, 43008, 11264, 
1024, 8192, 113664, 1024, 1024, 1024, 40960, 32768, 43008, 43008, 38912, 15360, 
1024, 8192, 115712, 1024, 2048, 1024, 39936, 32768, 45056, 45056, 39936, 14336, 
1024, 17408, 228352, 1024, 1024, 1024, 44032, 33792, 40960, 40960, 71680, 11264, 
1024, 8192, 114688, 1024, 1024, 1024, 44032, 32768, 43008, 43008, 37888, 16384, 
1024, 6144, 114688, 1024, 1024, 1024, 44032, 37888, 45056, 45056, 37888, 16384, 
1024, 6144, 116736, 1024, 1024, 1024, 39936, 33792, 47104, 47104, 38912, 13312, 
1024, 14336, 238592, 1024, 1024, 1024, 40960, 33792, 46080, 46080, 40960, 11264, 
1024, 7168, 108544, 1024, 1024, 1024, 17408, 14336, 24576, 24576, 14336, 10240, 
0, 1024, 16384, 1024, 1024, 1024, 48128, 34816, 48128, 48128, 63488, 28672, 
1024, 8192, 119808, 1024, 1024, 1024, 38912, 41984, 26624, 26624, 40960, 14336, 
1024, 9216, 114688, 1024, 1024, 1024, 41984, 33792, 20480, 20480, 39936, 15360, 
1024, 6144, 110592, 1024, 1024, 1024, 48128, 34816, 916480, 916480, 37888, 15360, 
1024, 3072, 95232, 2048, 10240, 1024, 28672, 1119232, 23552, 23552, 45056, 13312, 
1024, 8192, 109568, 2048, 1024, 1024, 12288, 11264, 7168, 7168, 9216, 6144, 
0, 1024, 9216, 1024, 1024, 0, 13312, 13312, 8192, 8192, 6144, 6144, 
0, 1024, 10240, 0, 0, 1024, 12288, 12288, 10240, 10240, 12288, 6144, 
0, 0, 9216, 0, 1024, 1024, 12288, 13312, 7168, 7168, 10240, 8192, 
1024, 1024, 10240, 0, 0, 1024, 12288, 12288, 7168, 7168, 10240, 6144, 
1024, 0, 10240, 1024, 0, 1024, 11264, 11264, 8192, 8192, 9216, 6144, 
0, 1024, 10240, 0, 1024, 1024, 11264, 11264, 6144, 6144, 9216, 7168, 
0, 1024, 10240, 1024, 0, 1024, 12288, 10240, 7168, 7168, 9216, 7168, 
1024, 1024, 9216, 0, 1024, 1024, 12288, 10240, 6144, 6144, 9216, 7168, 
0, 1024, 10240, 1024, 0, 1024, 12288, 11264, 6144, 6144, 9216, 7168, 
0, 1024, 10240, 1024, 0, 1024, 13312, 11264, 7168, 7168, 8192, 7168, 
0, 1024, 10240, 1024, 0, 1024, 12288, 11264, 7168, 7168, 9216, 6144, 
1024, 0, 10240, 1024, 1024, 0, 12288, 11264, 7168, 7168, 10240, 7168, 
0, 0, 10240, 1024, 1024, 0, 11264, 11264, 7168, 7168, 7168, 6144, 
1024, 1024, 9216, 1024, 1024, 0, 12288, 11264, 8192, 8192, 8192, 6144, 
1024, 0, 10240, 1024, 1024, 0, 13312, 10240, 7168, 7168, 8192, 7168, 
1024, 1024, 9216, 0, 1024, 1024, 12288, 11264, 6144, 6144, 9216, 7168, 
1024, 1024, 9216, 0, 1024, 1024, 11264, 15360, 7168, 7168, 9216, 7168, 
1024, 0, 10240, 1024, 0, 0, 13312, 11264, 6144, 6144, 9216, 7168, 
0, 1024, 10240, 1024, 0, 1024, 12288, 11264, 7168, 7168, 9216, 7168, 
1024, 0, 10240, 1024, 0, 0, 11264, 11264, 7168, 7168, 10240, 6144, 
1024, 0, 9216, 1024, 1024, 0, 12288, 11264, 6144, 6144, 9216, 6144, 
1024, 0, 9216, 1024, 1024, 1024, 13312, 10240, 6144, 6144, 7168, 6144, 
1024, 0, 9216, 0, 1024, 1024, 13312, 11264, 6144, 6144, 9216, 7168, 
1024, 0, 9216, 1024, 1024, 0, 12288, 12288, 7168, 7168, 9216, 7168, 
0, 1024, 10240, 0, 0, 1024, 12288, 11264, 6144, 6144, 9216, 7168, 
1024, 0, 9216, 1024, 1024, 1024, 13312, 11264, 6144, 6144, 9216, 7168, 
1024, 0, 10240, 1024, 1024, 0, 12288, 10240, 6144, 6144, 10240, 6144, 
0, 1024, 10240, 0, 0, 1024, 13312, 10240, 6144, 6144, 9216, 7168, 
0, 0, 10240, 0, 0, 1024, 12288, 11264, 6144, 6144, 9216, 7168, 
1024, 0, 9216, 1024, 1024, 1024, 12288, 11264, 7168, 7168, 9216, 6144, 
0, 1024, 9216, 0, 1024, 1024, 12288, 12288, 7168, 7168, 9216, 7168, 
1024, 1024, 9216, 0, 1024, 1024, 13312, 10240, 6144, 6144, 9216, 7168, 
1024, 0, 9216, 1024, 1024, 1024, 13312, 10240, 6144, 6144, 10240, 6144, 
1024, 1024, 9216, 1024, 1024, 0, 13312, 10240, 6144, 6144, 9216, 7168, 
1024, 1024, 10240, 1024, 0, 1024, 12288, 12288, 7168, 7168, 9216, 7168, 
0, 1024, 10240, 0, 1024, 1024, 13312, 11264, 6144, 6144, 10240, 6144, 
1024, 0, 10240, 1024, 0, 0, 12288, 11264, 7168, 7168, 9216, 7168, 
0, 1024, 10240, 0, 1024, 1024, 12288, 11264, 7168, 7168, 9216, 7168, 
1024, 1024, 9216, 0, 1024, 1024, 12288, 10240, 6144, 6144, 8192, 7168, 
0, 1024, 10240, 1024, 0, 1024, 13312, 11264, 7168, 7168, 9216, 6144, 
0, 0, 10240, 0, 0, 1024, 11264, 11264, 6144, 6144, 9216, 6144, 
0, 1024, 10240, 0, 1024, 1024, 12288, 12288, 7168, 7168, 10240, 7168, 
1024, 1024, 10240, 0, 1024, 1024, 12288, 11264, 7168, 7168, 9216, 6144, 
1024, 0, 9216, 1024, 1024, 1024, 13312, 11264, 7168, 7168, 9216, 7168, 
1024, 0, 10240, 1024, 0, 0, 11264, 12288, 7168, 7168, 10240, 6144, 
1024, 1024, 9216, 0, 1024, 1024, 13312, 11264, 6144, 6144, 9216, 6144, 
0, 0, 10240, 1024, 0, 0, 13312, 11264, 7168, 7168, 8192, 7168, 
1024, 0, 9216, 1024, 1024, 1024, 13312, 10240, 6144, 6144, 9216, 7168, 
1024, 1024, 9216, 1024, 1024, 1024, 15360, 12288, 7168, 7168, 10240, 6144, 
1024, 1024, 9216, 1024, 1024, 1024, 13312, 11264, 7168, 7168, 9216, 6144, 
1024, 1024, 10240, 0, 1024, 1024, 13312, 11264, 7168, 7168, 8192, 7168, 
1024, 0, 10240, 0, 0, 1024, 13312, 11264, 14336, 14336, 9216, 7168, 
1024, 1024, 9216, 1024, 1024, 1024, 13312, 10240, 6144, 6144, 10240, 7168, 
1024, 1024, 9216, 0, 1024, 1024, 13312, 10240, 7168, 7168, 8192, 7168, 
